"Abduction, harassment and other related offences against a person","Acts intended to cause injury","Dangerous or negligent acts endangering persons","Fraud, deception and related offences","Homicide and related offences","Illicit drug offences","Miscellaneous offences","Offences against justice procedures, government security and government operations","Prohibited and regulated weapons and explosives offences","Property damage and enviromental pollution","Public order offences","Robbery, extortion and related offences","Sexual assault and related offences","Theft and related offences","Unlawful entry with intent/burglary, break and enter","Average_Income_from_All_Sources_collected"
1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0
1,1,0,0,0,1,1,1,0,1,1,0,0,1,0,1
1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1
1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0
1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1
1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0
1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1
1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0
1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1
0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1
0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1
0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0
1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0
0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,1
1,1,0,1,1,1,0,1,1,0,1,0,0,1,1,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1
1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1
1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
